"","Course","Handed","Sex","Verbal","Age"
"240","Natural","right","female",600,18.92
"241","Natural","right","female",590,19.33
"242","Natural","right","female",610,20.25
"243","Natural","right","female",400,19.75
"244","Natural","right","male",750,19.58
"245","Natural","right","female",610,18.83
"246","Business","right","male",NA,22.92
"247"," Social","right","male",540,22.75
"248","Natural","right","female",600,20.92
"249","Natural","right","male",400,22.25
"250"," Social","right","female",590,19.25
"251","Natural","right","female",635,21.75
"252"," Social","left","female",550,19.25
"253"," Social","right","male",610,18.75
"254"," Social","right","female",490,18.58
"255"," Social","right","female",NA,21.5
"256"," Social","right","male",610,19.83
"257"," Social","right","female",690,18.42
"258"," Social","right","male",540,18.83
"259","Natural","right","male",550,18.75
"260"," Social","right","female",460,20.42
"261"," Social","right","female",580,19.17
"262"," Social","right","male",600,30.33
"263","Natural","right","male",600,20.08
"264","Natural","right","male",430,18.75
"265"," Social","right","female",600,20.58
"266"," Social","right","female",570,18.5
"267","Natural","right","female",670,19.17
"268"," Social","right","male",540,18.67
"269","Natural","right","male",560,20.25
"270"," Social","right","female",550,19.17
"271"," Social","right","female",NA,21.92
"272","Natural","right","male",660,18.75
"273"," Social","right","female",NA,22.33
"274"," Social","right","female",590,19.92
"275","Natural","right","female",530,21.58
"276"," Social","left","male",500,22.67
"277"," Social","right","female",620,18.58
"278","Natural","right","female",560,18.83
"279","Natural","right","male",600,22.58
"280"," Social","right","female",570,19.33
"281"," Social","right","male",600,20.67
"282"," Social","right","female",550,22.5
"283"," Social","right","female",650,20.17
"284"," Social","right","male",670,20.83
"285"," Social","right","female",570,20
"286"," Social","right","female",510,21.33
"287"," Social","right","female",600,19.92
"288"," Social","left","male",510,19.25
"289"," Social","right","female",490,19.08
"290"," Social","right","male",555,21.42
"291"," Social","right","female",500,19
"292"," Social","right","male",670,19.33
"293"," Social","right","female",600,19.42
"294"," Social","right","male",540,29.75
"295"," Social","right","female",NA,18.67
"296"," Social","right","male",580,20.83
"297"," Social","right","female",400,20.17
"298"," Social","right","female",580,24.17
"299"," Social","left","female",560,18
"300"," Social","right","male",540,19.08
"301"," Social","left","female",520,20.83
"302"," Social","right","male",620,20
"303"," Social","right","female",NA,22.25
"304"," Social","left","female",800,19.58
"305"," Social","right","female",510,20.17
"306"," Social","left","female",520,21.67
"307"," Social","right","male",480,20.42
"308"," Social","right","female",500,19.25
"309","Business","right","female",NA,25.75
"310"," Social","right","female",NA,21.92
"311"," Social","right","female",560,21.42
"312"," Social","right","male",600,28.75
"313"," Social","right","female",500,19.67
"314"," Social","right","male",580,20.08
"315"," Social","right","female",590,19.08
"316"," Social","right","female",540,19.67
"317"," Social","right","female",700,18.5
"318"," Social","right","female",NA,18.5
"319"," Social","right","female",590,19.17
"320"," Social","right","female",NA,19.75
"321"," Social","right","female",560,20.42
"322"," Social","right","female",510,19.17
"323"," Social","left","female",680,20.25
"324"," Social","right","male",520,20.42
"325"," Social","right","male",600,19.67
"326"," Social","right","male",710,19.42
"327"," Social","right","female",600,19.17
"328"," Social","right","male",NA,22.25
"329"," Social","right","female",480,19.25
"330"," Social","right","female",560,19.42
"331"," Social","right","female",480,19.08
"332"," Social","right","male",550,18.58
"333"," Social","right","male",650,20.17
"334"," Social","right","female",NA,20.83
"335"," Social","right","male",560,19.33
"336"," Social","right","male",520,19.83
"337"," Social","right","female",650,19.42
"338"," Social","right","male",NA,19.33
"339"," Social","left","female",620,20.67
"340"," Social","right","male",530,19.58
"341"," Social","right","male",500,19.67
"342"," Social","right","female",760,19.17
"343"," Social","right","female",NA,19.5
"344"," Social","right","female",NA,20.83
"345"," Social","right","female",675,21.58
"346"," Social","right","female",300,25.5
"347"," Social","right","female",640,31.75
"348"," Social","right","male",640,19.83
"349"," Social","right","female",640,19.33
"350"," Social","right","male",670,19.17
"351"," Social","right","female",660,19.58
"352","Business","right","female",440,18.33
"353"," Social","left","male",660,24.75
"354"," Social","right","male",520,21.58
"355"," Social","right","male",550,20.33
"356"," Social","right","female",NA,19.75
"357"," Social","left","female",610,20.5
"358"," Social","right","female",620,19.25
"359"," Social","right","female",590,19.92
"360"," Social","right","female",550,20
"361"," Social","right","female",NA,21.5
"362"," Social","right","female",560,18.83
"363"," Social","right","female",680,19.08
"364"," Social","right","female",590,20.92
"365"," Social","right","female",500,19.75
"366"," Social","right","female",NA,21.58
"367"," Social","right","male",540,NA
"368"," Social","right","female",540,19.42
"369"," Social","right","female",480,21.17
"370"," Social","right","female",640,20.08
"371"," Social","right","female",660,19.58
"372"," Social","right","female",600,18.42
"373"," Social","left","female",570,20.92
"374"," Social","right","female",560,20.5
"375"," Social","right","male",520,19.58
"376"," Social","right","female",540,19.17
"377","Natural","right","female",600,17.92
"378"," Social","right","male",NA,19.25
"379"," Social","right","female",550,21
"380"," Social","right","female",560,20.42
"381"," Social","left","female",580,19.17
"382"," Social","left","male",550,20.25
"383"," Social","right","female",620,18.92
"384"," Social","right","male",780,19.67
"385"," Social","right","female",NA,19.83
"386","Natural","right","female",670,34.67
"387","Natural","left","male",630,19.25
"388","Natural","right","female",570,19.5
"389","Natural","right","male",590,18.17
"390","Natural","right","female",670,19.25
"391","Natural","right","male",610,19.08
"392","Natural","right","male",580,21.83
"393","Natural","right","female",650,19.58
"394","Natural","right","male",600,24.92
"395","Natural","right","female",590,18.75
"396","Natural","right","female",600,19.83
"397","Natural","right","male",660,19.5
"398","Natural","right","female",610,24.42
"399","Natural","right","female",NA,19.08
"400","Business","right","male",NA,20.75
"401","Natural","right","female",600,33.92
"402","Natural","right","female",500,20
"403","Natural","right","male",NA,20.75
"404","Natural","right","female",550,22.17
"405","Natural","left","female",NA,19.5
"406","Natural","right","male",570,25.17
"407","Natural","right","female",700,20.67
"408","Natural","right","female",670,18.83
"409","Natural","right","male",NA,19
"410"," Social","right","female",620,19
"411","Natural","right","female",640,20.67
"412","Natural","right","female",620,19.42
"413","Business","right","male",610,20.17
"414","Natural","right","female",720,19.58
"415","Natural","right","female",720,18
"416","Natural","right","male",600,20.5
"417","Natural","right","female",680,19.33
"418","Natural","right","female",NA,17.92
"419","Natural","right","female",NA,20.83
"420","Natural","right","female",700,19.33
"421","Natural","right","female",NA,19.42
"422","Business","right","male",600,20
"423","Natural","right","female",590,20.67
"424","Natural","right","female",640,18.42
"425","Natural","right","male",600,18.58
"426","Natural","right","female",NA,20.25
"427","Natural","right","female",500,19.08
"428","Natural","right","male",NA,19.75
"429","Natural","right","male",600,20.08
"430","Natural","left","female",570,21
"431","Natural","right","female",670,19
"432","Natural","right","male",480,19.83
"433","Natural","right","male",660,21.67
"434","Natural","right","female",620,20.17
"435","Natural","right","female",800,19.67
"436","Natural","right","male",550,20
"437","Natural","right","male",600,28.25
"438","Natural","right","female",540,19.75
"439","Natural","right","male",590,21.08
"440","Natural","right","male",500,20.17
"441","Natural","left","male",450,22.08
"442","Natural","right","male",590,34.42
"443","Natural","right","female",660,19.08
"444","Natural","right","male",640,21.58
"445","Natural","right","female",580,19.75
"446","Natural","right","male",590,23.5
"447","Natural","right","female",580,19.33
"448","Natural","right","female",600,19.33
"449","Natural","right","female",520,19.58
"450","Natural","right","male",690,19.92
"451","Natural","right","female",630,18.42
"452","Natural","right","female",550,20.17
"453","Natural","left","male",550,18.5
"454","Natural","right","female",500,20.08
"455","Natural","right","female",580,19.25
"456","Natural","right","female",520,18.67
"457","Natural","left","male",480,19.08
"458","Natural","right","male",540,19.67
"459","Natural","right","female",710,17.92
"460","Natural","left","male",590,21.25
"461","Natural","right","female",560,19.33
"462","Natural","right","female",520,19
"463","Natural","right","female",790,19.92
"464","Natural","right","female",600,21.17
"465","Natural","right","male",540,22.83
"466"," Social","right","female",610,19.5
"467","Natural","right","female",500,20.83
"468","Natural","left","female",670,20.5
"469","Natural","right","male",500,19.25
"470","Natural","right","male",550,23
"471","Natural","right","female",610,19.33
"472","Natural","right","female",520,19.33
"473","Natural","right","female",500,19.25
"474","Natural","right","female",NA,19.5
"475","Business","right","male",700,25
"476"," Social","right","female",590,20.25
"477","Natural","right","male",NA,20
"478","Natural","right","female",NA,20.33
"479"," Social","left","female",590,20.75
"480"," Social","right","male",600,20.83
"481","Natural","right","female",690,19.5
"482","Natural","right","male",710,18.67
"483","Natural","right","female",620,19.17
"484","Natural","right","female",600,19
"485","Natural","right","female",620,21.92
"486","Natural","right","male",600,18.92
"487","Natural","right","female",620,19.92
"488","Natural","right","male",560,19
"489","Natural","right","female",620,19.33
"490","Natural","right","female",NA,19.42
"491","Natural","right","female",500,23
"492"," Social","right","female",660,19.25
"493","Natural","right","male",500,20.42
"494","Natural","right","male",650,20
"495"," Social","right","male",630,20.58
"496","Natural","left","female",630,18.5
"497","Natural","right","female",560,20.58
"498","Natural","right","female",600,19.33
"499","Natural","right","male",700,19.58
"500","Natural","right","female",620,20.25
"501","Natural","right","female",650,19.08
"502","Natural","right","female",580,19.25
"503","Natural","right","female",600,19.08
"504","Natural","right","male",660,19
"505","Natural","right","female",560,19.25
"506","Natural","right","female",710,19.58
"507","Natural","right","female",500,19.42
"508","Natural","right","male",680,24.17
"509"," Social","right","female",630,18.75
"510","Natural","left","female",600,19.17
"511","Natural","right","male",740,20.83
"512","Natural","right","female",530,20.17
"513","Natural","right","female",650,19.17
"514","Natural","left","female",560,19.58
"515"," Social","right","female",620,19.42
"516"," Social","right","female",670,19.58
"517"," Social","right","female",650,20.75
"518"," Social","right","female",720,19.92
"519"," Social","right","male",560,21.25
"520"," Social","right","female",560,19.83
"521"," Social","right","male",630,20.83
"522"," Social","right","female",NA,19
"523"," Social","right","male",540,19.42
"524"," Social","right","female",460,19.67
"525"," Social","left","female",NA,19.83
"526"," Social","right","female",500,20.67
"527"," Social","right","female",700,20.17
"528"," Social","left","male",NA,20.75
"529"," Social","left","female",510,45.58
"530"," Social","right","female",560,18.58
"531"," Social","right","female",680,19.5
"532"," Social","right","male",480,18.83
"533"," Social","right","female",520,19.17
"534"," Social","right","female",720,19.42
"535"," Social","right","female",790,19.25
"536"," Social","right","female",610,20.17
"537"," Social","right","female",NA,18.67
"538"," Social","right","female",650,22
"539"," Social","right","female",680,19.17
"540"," Social","right","female",590,20.58
"541"," Social","right","female",590,19
"542"," Social","right","female",700,19.5
"543"," Social","right","male",550,22.17
"544"," Social","right","female",580,22.67
"545"," Social","right","male",610,19.83
"546"," Social","right","female",580,19.25
"547"," Social","right","male",520,19.42
"548"," Social","right","female",670,19.33
"549"," Social","left","female",535,18.08
"550"," Social","right","female",640,19.25
"551"," Social","right","male",600,19
"552"," Social","right","female",500,18
"553"," Social","right","female",620,19.25
"554"," Social","right","female",NA,19.92
"555"," Social","right","male",580,23.08
"556"," Social","right","male",610,19.42
"557"," Social","right","male",570,19.25
"558"," Social","left","female",570,19
"559"," Social","right","male",570,19.33
"560"," Social","right","female",610,19.58
"561"," Social","right","female",600,19.58
"562"," Social","right","male",520,19.92
"563"," Social","right","male",580,20
"564"," Social","right","female",620,19
"565"," Social","left","female",550,19.58
"566"," Social","right","female",530,19.75
"567"," Social","left","female",660,20.83
"568"," Social","right","female",500,19.08
"569"," Social","right","female",640,23.83
"570"," Social","right","female",510,19.33
"571"," Social","right","female",600,19.17
"572"," Social","right","male",650,19.83
"573"," Social","right","male",NA,20.25
"574"," Social","right","female",600,19.17
"575"," Social","left","male",470,19.92
"576"," Social","right","female",600,19.33
"577"," Social","left","female",550,21.92
"578"," Social","right","female",610,20
"579"," Social","right","female",570,19.58
"580"," Social","right","female",560,19.08
"581"," Social","left","male",590,22.17
"582"," Social","left","female",500,20
"583"," Social","right","female",610,19.58
"584"," Social","right","female",550,19.33
"585"," Social","right","female",550,21.75
"586"," Social","left","male",640,19.5
"587"," Social","right","male",400,19.5
"588"," Social","right","female",580,20.67
"589"," Social","right","female",650,19.58
"590"," Social","right","female",500,20.08
"591"," Social","right","female",620,20.83
"592","Natural","right","female",500,19.17
"593","Natural","right","female",590,20.33
"594","Natural","right","female",600,19.83
"595","Natural","left","female",600,20.17
"596","Natural","right","male",NA,19.58
"597","Natural","right","male",600,19.67
"598","Natural","right","male",600,19.67
"599","Natural","right","male",450,19.58
"600","Natural","left","male",690,21.17
"601","Natural","right","male",470,19.58
"602","Natural","left","male",520,21.17
"603","Natural","right","female",630,19.33
"604","Natural","right","male",620,21.17
"605","Natural","right","female",510,19.83
"606","Natural","right","female",560,18.92
"607","Natural","right","female",600,19.25
"608","Natural","right","female",660,18.17
"609","Natural","right","female",460,20.33
"610","Natural","right","male",NA,19.42
"611","Natural","right","male",NA,22.58
"612","Natural","right","female",510,20.33
"613","Natural","right","female",640,20
"614","Natural","right","female",NA,19.17
"615","Natural","right","female",700,19.08
"616","Natural","right","male",600,20.25
"617"," Social","right","female",760,21.25
"618","Natural","right","female",790,19.25
"619","Natural","right","female",670,18.92
"620","Natural","right","male",660,21
"621","Natural","right","female",540,18.5
"622","Natural","right","female",510,19.42
"623","Natural","right","female",570,22.33
"624","Natural","left","male",400,19.08
"625","Natural","right","female",630,22.75
"626","Natural","right","female",750,20.5
"627","Natural","right","female",700,19.75
"628","Natural","right","male",580,19.58
"629","Natural","right","male",600,19.92
"630","Natural","right","female",720,22.75
"631","Natural","right","female",590,19.92
"632","Natural","right","male",540,19.25
"633","Natural","right","male",580,19.08
"634","Natural","left","female",NA,21.25
"635"," Social","right","female",520,19.17
"636","Natural","right","male",680,20.25
"637","Natural","right","female",600,19.17
"638","Natural","right","male",780,21.75
"639","Natural","right","female",540,23.5
"640","Natural","right","male",570,19.83
"641","Natural","right","male",680,20.25
"642","Natural","right","male",620,20.75
"643","Natural","right","male",540,19.42
"644","Natural","right","male",NA,20.67
"645","Natural","left","male",580,21
"646","Natural","right","female",NA,17.92
"647","Natural","right","male",650,20.42
"648","Natural","left","male",650,19.25
"649","Natural","right","female",600,19.58
"650","Natural","right","male",750,20.42
"651","Natural","right","male",520,20
"652","Natural","right","male",NA,19.42
"653","Natural","right","male",550,21.67
"654","Natural","right","female",720,19.5
"655","Natural","right","female",630,18.83
"656","Natural","right","male",550,21.33
"657","Natural","right","female",NA,19.75
"658","Natural","right","female",540,19.58
"659","Natural","right","male",690,20.08
"660","Natural","right","female",540,18.5
"661","Natural","right","male",590,20.5
"662","Natural","right","male",510,19.75
"663","Natural","right","female",590,19
"664","Natural","right","female",560,19.08
"665","Natural","right","male",530,19.33
"666","Natural","left","male",550,19.33
"667","Natural","right","male",510,19.67
"668","Natural","right","female",680,21.17
"669","Natural","right","female",600,19.08
"670","Natural","right","male",520,22.58
"671","Natural","right","female",600,19.5
"672","Natural","left","male",540,20.67
"673","Business","right","male",500,18.58
"674","Business","right","female",620,17.67
"675","Business","right","male",560,19.75
"676"," Social","left","male",550,20.42
"677","Business","right","female",640,20
"678","Business","right","female",500,18.92
"679","Business","right","male",530,20.67
"680","Business","left","male",500,19.08
"681","Business","right","male",540,19.33
"682","Business","right","female",NA,19.42
"683","Business","left","female",590,22.75
"684","Natural","right","male",580,19.83
"685","Business","right","male",580,19
"686","Business","right","female",580,19
"687","Business","right","female",590,18.92
"688","Business","right","female",680,19.25
"689","Business","right","male",600,21.67
"690","Business","right","male",680,21.92
"691","Business","left","male",420,28.42
"692"," Social","left","female",640,20.17
"693"," Social","right","male",530,22.92
"694","Business","right","male",600,19.5
"695","Business","right","male",500,21.58
"696","Business","right","male",530,19.92
"697","Business","right","male",NA,20.25
"698"," Social","right","female",600,40
"699","Business","right","male",NA,19.5
"700"," Social","right","female",NA,44
"701","Natural","right","female",450,NA
"702","Business","right","male",540,18.33
"703","Business","right","male",450,19.08
"704","Business","right","male",700,23.42
"705","Business","right","female",NA,19.67
"706","Business","right","female",490,21.67
"707"," Social","right","female",600,19.67
"708"," Social","right","female",NA,19.33
"709"," Social","right","female",550,19
"710"," Social","right","female",730,19.58
"711"," Social","left","female",630,19.5
"712"," Social","right","female",NA,19
"713"," Social","right","female",670,19.58
"714"," Social","left","female",580,19.5
"715"," Social","right","male",580,19.83
"716"," Social","right","male",620,19.58
"717"," Social","right","female",580,19.67
"718"," Social","right","female",530,18.92
"719"," Social","left","female",NA,19
"720"," Social","right","male",590,20.92
"721"," Social","right","male",340,18.92
"722"," Social","right","male",640,19.25
"723"," Social","right","female",640,19.92
"724"," Social","right","female",740,19.58
"725"," Social","right","female",580,19.42
"726"," Social","right","female",NA,19.67
"727"," Social","right","female",520,20.33
"728"," Social","right","male",590,20.67
"729"," Social","right","female",NA,19.33
"730"," Social","right","male",560,22.92
"731"," Social","right","female",560,19.75
"732"," Social","right","female",580,19.67
"733"," Social","right","female",NA,20.5
"734"," Social","right","female",550,19.42
"735"," Social","right","male",NA,19
"736"," Social","right","female",650,19.58
"737"," Social","right","female",600,19.17
"738"," Social","right","female",620,20.25
"739"," Social","right","male",540,21.17
"740"," Social","left","male",600,19.83
"741"," Social","right","female",NA,19.83
"742"," Social","right","female",620,19.17
"743"," Social","right","female",NA,20.67
"744"," Social","right","female",590,45.33
"745"," Social","right","female",620,19.83
"746"," Social","left","female",600,22.25
"747"," Social","right","female",470,20.92
"748"," Social","left","male",580,23.83
"749"," Social","right","female",600,19.83
"750"," Social","left","female",590,20.42
"751"," Social","right","male",560,20.25
"752"," Social","right","female",660,20
"753"," Social","right","female",420,22
"754"," Social","left","female",630,19.92
"755"," Social","right","female",540,19.42
"756"," Social","right","female",700,20.25
"757"," Social","right","male",690,19.58
"758","Business","right","male",650,20.25
"759"," Social","right","female",620,24.33
"760"," Social","right","male",670,20.92
"761"," Social","right","male",480,20.42
"762"," Social","right","male",560,18.75
"763"," Social","right","female",550,19.83
"764"," Social","right","male",NA,22.58
"765"," Social","right","female",730,20
"766"," Social","left","female",520,28.08
"767"," Social","left","female",520,21.83
"768"," Social","right","female",NA,19.83
"769"," Social","right","female",510,19.42
"770"," Social","right","female",410,19.17
"771"," Social","right","female",NA,20.83
"772"," Social","right","male",NA,21.67
"773"," Social","right","male",530,25.42
"774"," Social","right","female",NA,20
"775"," Social","right","female",450,32.83
"776"," Social","right","female",580,20.42
"777"," Social","right","male",650,22.92
"778"," Social","left","male",580,22.33
"779"," Social","right","female",550,19
"780"," Social","right","female",520,19.75
"781"," Social","right","female",NA,19.92
"782"," Social","right","female",500,20.42
"783"," Social","right","male",540,20
"784"," Social","right","male",520,19.08
"785"," Social","right","female",NA,19.92
"786"," Social","right","female",650,19.58
"787"," Social","right","female",600,19.42
"788"," Social","right","female",650,19.75
"789"," Social","right","female",580,19.67
"790"," Social","right","female",650,19.75
"791"," Social","right","male",670,20.92
"792"," Social","left","female",640,20.08
"793"," Social","right","male",680,24.08
"794"," Social","left","female",NA,19.5
"795"," Social","right","female",550,21.25
"796"," Social","right","female",NA,20.08
"797"," Social","right","female",750,19.17
"798"," Social","right","male",580,19.42
"799"," Social","right","female",450,19.42
"800"," Social","right","male",490,20.08
"801"," Social","right","female",540,19.08
"802"," Social","right","female",490,19.17
"803"," Social","right","female",NA,18.5
"804"," Social","right","male",NA,37.42
"805"," Social","right","female",640,20.08
"806"," Social","right","female",NA,20.92
"807"," Social","right","female",540,21.5
"808"," Social","right","female",NA,20.83
"809"," Social","right","female",NA,25.25
"810"," Social","right","female",500,19.25
"811"," Social","right","female",530,24.42
"812"," Social","right","female",550,18.33
"813"," Social","left","female",610,20
"814"," Social","right","male",510,25
"815"," Social","right","female",600,20.75
"816"," Social","right","female",690,18.67
"817"," Social","right","female",550,18.33
"818"," Social","right","female",NA,19.75
"819"," Social","left","male",NA,24.08
"820"," Social","right","female",480,29.58
"821"," Social","right","male",590,22
"822"," Social","right","female",580,19.33
"823"," Social","left","male",650,21.33
"824"," Social","left","female",600,19.33
"825"," Social","right","female",500,18.42
"826"," Social","left","female",520,20.5
